id	x	y	cluster	weight<Links>	weight<Total link strength>
1420	-0.7035	-0.3317	2	4534	780.9818
1421	-0.8408	0.1816	3	4534	276.7248
1422	0.5074	0.0912	5	4534	170.5569
1423	1.1232	-0.2713	1	4534	601.2686
1424	-0.5712	0.4056	4	4534	373.1786
1425	-0.8752	-0.0522	3	4534	451.6517
1426	1.0223	-0.3576	1	4534	619.4189
1427	-0.4735	0.1747	4	4534	430.2841
1428	0.2096	-0.4075	2	4534	427.8159
1429	-0.8024	-0.1935	2	4534	876.7308
143	0.4486	0.1057	5	4534	197.1538
1430	-0.8307	-0.0813	3	4534	329.2452
1431	-1.1172	0.0345	3	4534	429.1801
1432	0.9914	0.343	1	4534	311.9379
1433	-0.1707	0.5713	4	4534	138.2981
1434	0.2838	-0.322	1	4534	511.9055
1435	1.1327	0.0213	1	4534	302.2179
1436	-0.8174	0.292	3	4534	386.3544
1437	0.0169	-0.4321	2	4534	940.4301
1438	0.142	0.5169	4	4534	174.8631
1439	-0.7388	-0.114	2	4534	440.539
144	0.1188	-0.467	2	4534	795.2676
1440	-0.3	0.5111	4	4534	186.9168
1441	-0.6353	-0.1865	2	4534	454.8736
1442	-0.2215	-0.3328	5	4534	368.0622
1443	1.1348	0.4285	1	4534	185.6574
1444	0.388	-0.1544	1	4534	305.478
1445	-0.9893	-0.1604	3	4534	416.3119
1446	-1.0474	0.2579	3	4534	269.2416
1447	-1.0687	0.2474	3	4534	196.6177
1448	-1.1228	0.2367	3	4534	192.986
1449	0.6465	-0.5909	1	4534	456.3202
145	-0.3444	-0.295	5	4534	422.6017
1450	0.2336	0.1814	5	4534	209.0925
1451	-0.1432	-0.1449	5	4534	269.0392
1452	-1.0139	0.1363	3	4534	390.6948
1453	0.6808	-0.5257	1	4534	442.2814
1454	0.7135	0.3999	1	4534	228.1121
1455	1.0408	0.0087	1	4534	312.8718
1456	-0.2517	-0.3217	5	4534	373.9795
1457	-0.8926	0.1961	3	4534	427.4791
1458	-0.3582	-0.366	2	4534	513.0858
1459	0.4982	0.1189	5	4534	105.9488
146	-0.7431	0.1629	3	4534	493.7504
1460	-0.4727	0.1008	3	4534	624.7077
1461	-1.0747	0.1621	3	4534	329.3991
1462	-0.623	-0.2274	2	4534	490.0096
1463	-0.7404	0.0737	3	4534	429.2271
1464	-0.2515	-0.0633	5	4534	378.8599
1465	-0.4941	-0.4252	2	4534	682.7915
1466	-0.7367	-0.3003	2	4534	831.007
1467	0.1855	-0.5458	2	4534	706.3687
1468	-0.8508	-0.2343	2	4534	736.172
1469	0.1521	0.2803	4	4534	303.018
147	-0.6732	0.3505	4	4534	388.6083
1470	-0.8187	0.0892	3	4534	361.5677
1471	-0.9476	-0.2261	2	4534	603.485
1472	-0.9452	0.2102	3	4534	420.237
1473	0.9683	-0.272	1	4534	399.8683
1474	-0.5721	-0.2243	2	4534	454.879
1475	0.5156	-0.1124	5	4534	408.1474
1476	0.7002	-0.3999	1	4534	592.0334
1477	-0.4445	0.3813	4	4534	279.041
1478	0.0511	-0.0682	5	4534	292.1532
1479	0.9385	-0.45	1	4534	534.9362
148	0.9145	0.3776	1	4534	185.0591
1480	-0.4066	0.107	3	4534	494.5368
1481	-0.8134	-0.3207	2	4534	843.6489
1482	1.1535	-0.3214	1	4534	500.9465
1483	1.2154	-0.2283	1	4534	535.8218
1484	-0.8995	-0.0991	3	4534	413.8505
1485	0.7536	0.4195	1	4534	184.5976
1486	1.103	0.0759	1	4534	273.3002
1487	-0.867	-0.1031	3	4534	782.6795
1488	1.1858	-0.1313	1	4534	521.6278
1489	0.7757	-0.4982	1	4534	534.2239
149	-0.7659	-0.0887	2	4534	755.7702
1490	-0.7877	-0.3483	2	4534	867.5303
1491	0.9675	-0.2988	1	4534	681.027
1492	0.643	0.0434	5	4534	193.07
1493	-0.7623	0.0518	3	4534	470.0936
1494	1.1004	0.2287	1	4534	313.1865
1495	0.9977	-0.0075	1	4534	210.9867
1496	0.948	-0.3732	1	4534	581.6253
1497	1.0328	-0.0693	1	4534	360.0552
1498	-0.6964	0.1353	3	4534	290.3464
1499	0.1649	0.566	4	4534	86.3875
15	-0.7083	-0.0747	3	4534	744.9417
150	-0.6723	-0.2576	2	4534	887.3677
1500	0.9408	0.3711	1	4534	189.3162
1501	-0.6	-0.4385	2	4534	927.6296
1502	1.1039	-0.1438	1	4534	388.4177
1503	-0.6314	0.3336	3	4534	383.1665
1504	0.1188	-0.3861	2	4534	826.4637
1505	0.7536	-0.1834	1	4534	590.5762
1506	1.0327	0.0608	1	4534	332.8552
1507	0.9744	-0.2285	1	4534	678.4218
1508	1.1888	-0.2678	1	4534	573.7122
1509	0.2358	-0.0168	5	4534	313.0293
151	-1.0081	0.0004	3	4534	507.6926
1510	-0.648	-0.3302	2	4534	935.6011
1511	-0.4657	0.4949	4	4534	135.2676
1512	-0.8236	-0.016	3	4534	201.5751
1513	1.2347	-0.232	1	4534	506.4892
1514	0.9618	-0.127	1	4534	371.3366
1515	-0.7972	0.0142	3	4534	252.7211
1516	-0.5833	0.4659	4	4534	244.4506
1517	1.0243	0.2824	1	4534	322.0428
1518	0.1395	0.5462	4	4534	126.262
1519	-0.479	0.3892	4	4534	283.2224
152	0.0055	0.6503	4	4534	73.0834
1520	1.1749	0.4787	1	4534	139.772
1521	-0.6409	0.0894	3	4534	551.4907
1522	-0.8377	-0.2203	2	4534	455.7618
1523	-1.0452	0.1348	3	4534	272.6829
1524	-0.6146	0.3662	4	4534	343.5087
1525	1.1782	0.0907	1	4534	333.1342
